id;name;prod_type;price;jhi_desc;quantity;image_hash;card_type;card_text;edition;language;material;color;page_num;page_load;capacity
1;touchant décrire spécialiste;CARD;20963;ha ha bzzz à cause de;4864;25261;ENCHANTMENT;défendre cyan de façon que;4520;KLINGON;STEEL;bleu de cobalt;14180;24481;23733
2;au-dessous;ALBUM;14869;finir solliciter;9302;23344;LAND;aïe;7553;ENGLISH;SILK;rouge de Falun;26165;29149;19932
3;aigre tic-tac commis;ALBUM;30807;environ absolument;30947;30530;LAND;pin-pon du fait que;1499;JAPANESE;TISSU;tomette;10895;30768;15465
4;de manière à ce que vivre coin-coin;SLEEVES;19145;plic;27697;28756;LAND;charitable;16872;ENGLISH;SILK;jaune impérial;9525;880;15008
5;tellement bof;ALBUM;4774;absolument fonder assez;22939;4318;SORCERY;dynamique recta;29053;ENGLISH;SILK;rouge cerise;19261;28815;10090
6;par suite de communauté étudiante;ALBUM;2147;grandement pourpre;30657;18309;ARTIFACT;toc-toc;10773;KLINGON;TISSU;bleu ciel;8423;908;31901
7;sale bang d’autant que;CARD;24035;sage horrible;1029;6824;ARTIFACT;dynamique énorme;25537;JAPANESE;TISSU;brique;18600;23510;3787
8;emprunter;CARD;15920;parce que naguère dring;16251;1377;PLANESWALKER;commis prout disposer;27002;KLINGON;TISSU;cuivre;27386;1451;11351
9;spécialiste aigre maintenant;BOX;8073;sans que candide;2570;13757;ARTIFACT;agréable chef de cuisine;28384;ENGLISH;DIRT;lime;2779;11466;21963
10;dense déduire;ALBUM;22460;au cas où;18223;1149;ENCHANTMENT;aux alentours de;24522;JAPANESE;DIRT;bleu saphir;28477;2578;15364
